system:index,vs,.geo
271_0,306.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
272_0,196.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
273_0,328.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
274_0,252.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
275_0,285.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
276_0,292.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
277_0,260.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
278_0,229.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
279_0,276.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
280_0,218.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
281_0,257.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
282_0,214.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
283_0,258.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
284_0,279.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
285_0,282.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
286_0,326.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
287_0,307.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
289_0,311.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
290_0,270.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
291_0,307.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
292_0,228.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
293_0,294.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
294_0,263.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
295_0,286.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
296_0,308.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
297_0,202.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
298_0,223.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
299_0,149.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
300_0,218.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
301_0,223.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
302_0,233.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
303_0,143.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
304_0,303.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
305_0,262.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
306_0,285.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
307_0,282.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
308_0,223.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
309_0,215.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
310_0,192.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
