system:index,Npp,.geo
219_0,0.2222,"{""type"":""MultiPoint"",""coordinates"":[]}"
220_0,0.3301,"{""type"":""MultiPoint"",""coordinates"":[]}"
221_0,0.2918,"{""type"":""MultiPoint"",""coordinates"":[]}"
222_0,0.47900000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
223_0,0.6009,"{""type"":""MultiPoint"",""coordinates"":[]}"
224_0,0.341,"{""type"":""MultiPoint"",""coordinates"":[]}"
225_0,0.0582,"{""type"":""MultiPoint"",""coordinates"":[]}"
226_0,0.401,"{""type"":""MultiPoint"",""coordinates"":[]}"
227_0,0.1625,"{""type"":""MultiPoint"",""coordinates"":[]}"
228_0,0.3926,"{""type"":""MultiPoint"",""coordinates"":[]}"
229_0,0.4567,"{""type"":""MultiPoint"",""coordinates"":[]}"
230_0,0.35600000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
231_0,0.3804,"{""type"":""MultiPoint"",""coordinates"":[]}"
232_0,0.2235,"{""type"":""MultiPoint"",""coordinates"":[]}"
233_0,0.46330000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
234_0,0.4294,"{""type"":""MultiPoint"",""coordinates"":[]}"
235_0,0.23140000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
236_0,0.37460000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
237_0,0.16110000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
238_0,0.39490000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
239_0,0.5615,"{""type"":""MultiPoint"",""coordinates"":[]}"
240_0,0.5141,"{""type"":""MultiPoint"",""coordinates"":[]}"
241_0,0.2738,"{""type"":""MultiPoint"",""coordinates"":[]}"
242_0,0.1403,"{""type"":""MultiPoint"",""coordinates"":[]}"
243_0,0.3679,"{""type"":""MultiPoint"",""coordinates"":[]}"
244_0,0.20500000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
245_0,0.3447,"{""type"":""MultiPoint"",""coordinates"":[]}"
247_0,0.30770000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
248_0,0.2619,"{""type"":""MultiPoint"",""coordinates"":[]}"
249_0,0.4758,"{""type"":""MultiPoint"",""coordinates"":[]}"
250_0,0.3996,"{""type"":""MultiPoint"",""coordinates"":[]}"
251_0,0.2303,"{""type"":""MultiPoint"",""coordinates"":[]}"
252_0,0.4092,"{""type"":""MultiPoint"",""coordinates"":[]}"
253_0,0.4582,"{""type"":""MultiPoint"",""coordinates"":[]}"
255_0,0.39930000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
256_0,0.35450000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
257_0,0.5743,"{""type"":""MultiPoint"",""coordinates"":[]}"
258_0,0.40950000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
259_0,0.4057,"{""type"":""MultiPoint"",""coordinates"":[]}"
260_0,0.31980000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
261_0,0.2899,"{""type"":""MultiPoint"",""coordinates"":[]}"
262_0,0.32,"{""type"":""MultiPoint"",""coordinates"":[]}"
263_0,0.4142,"{""type"":""MultiPoint"",""coordinates"":[]}"
264_0,0.4002,"{""type"":""MultiPoint"",""coordinates"":[]}"
265_0,0.2082,"{""type"":""MultiPoint"",""coordinates"":[]}"
266_0,0.5058,"{""type"":""MultiPoint"",""coordinates"":[]}"
267_0,0.45520000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
