system:index,rsei,.geo
151_0,0.47567478,"{""type"":""MultiPoint"",""coordinates"":[]}"
152_0,0.4229159,"{""type"":""MultiPoint"",""coordinates"":[]}"
153_0,0.51072973,"{""type"":""MultiPoint"",""coordinates"":[]}"
154_0,0.60261863,"{""type"":""MultiPoint"",""coordinates"":[]}"
155_0,0.7043235,"{""type"":""MultiPoint"",""coordinates"":[]}"
156_0,0.46320233,"{""type"":""MultiPoint"",""coordinates"":[]}"
157_0,0.55602705,"{""type"":""MultiPoint"",""coordinates"":[]}"
158_0,0.7418888,"{""type"":""MultiPoint"",""coordinates"":[]}"
159_0,0.5835071,"{""type"":""MultiPoint"",""coordinates"":[]}"
160_0,0.60445803,"{""type"":""MultiPoint"",""coordinates"":[]}"
161_0,0.56768805,"{""type"":""MultiPoint"",""coordinates"":[]}"
162_0,0.44999185,"{""type"":""MultiPoint"",""coordinates"":[]}"
163_0,0.54393226,"{""type"":""MultiPoint"",""coordinates"":[]}"
164_0,0.2677141,"{""type"":""MultiPoint"",""coordinates"":[]}"
165_0,0.69988585,"{""type"":""MultiPoint"",""coordinates"":[]}"
166_0,0.57504225,"{""type"":""MultiPoint"",""coordinates"":[]}"
167_0,0.5174904,"{""type"":""MultiPoint"",""coordinates"":[]}"
168_0,0.32843032,"{""type"":""MultiPoint"",""coordinates"":[]}"
169_0,0.5825525,"{""type"":""MultiPoint"",""coordinates"":[]}"
170_0,0.71992284,"{""type"":""MultiPoint"",""coordinates"":[]}"
171_0,0.3114188,"{""type"":""MultiPoint"",""coordinates"":[]}"
172_0,0.52653855,"{""type"":""MultiPoint"",""coordinates"":[]}"
173_0,0.75977796,"{""type"":""MultiPoint"",""coordinates"":[]}"
174_0,0.5865461,"{""type"":""MultiPoint"",""coordinates"":[]}"
175_0,0.4638399,"{""type"":""MultiPoint"",""coordinates"":[]}"
176_0,0.30143476,"{""type"":""MultiPoint"",""coordinates"":[]}"
177_0,0.7786365,"{""type"":""MultiPoint"",""coordinates"":[]}"
178_0,0.80220586,"{""type"":""MultiPoint"",""coordinates"":[]}"
179_0,0.4563744,"{""type"":""MultiPoint"",""coordinates"":[]}"
180_0,0.54834944,"{""type"":""MultiPoint"",""coordinates"":[]}"
181_0,0.60452324,"{""type"":""MultiPoint"",""coordinates"":[]}"
182_0,0.61160487,"{""type"":""MultiPoint"",""coordinates"":[]}"
183_0,0.4487601,"{""type"":""MultiPoint"",""coordinates"":[]}"
184_0,0.7409704,"{""type"":""MultiPoint"",""coordinates"":[]}"
185_0,0.70651734,"{""type"":""MultiPoint"",""coordinates"":[]}"
186_0,0.45047513,"{""type"":""MultiPoint"",""coordinates"":[]}"
187_0,0.48995128,"{""type"":""MultiPoint"",""coordinates"":[]}"
188_0,0.5640862,"{""type"":""MultiPoint"",""coordinates"":[]}"
189_0,0.675693,"{""type"":""MultiPoint"",""coordinates"":[]}"
190_0,0.23469795,"{""type"":""MultiPoint"",""coordinates"":[]}"
191_0,0.58085775,"{""type"":""MultiPoint"",""coordinates"":[]}"
192_0,0.5479603,"{""type"":""MultiPoint"",""coordinates"":[]}"
193_0,0.5644018,"{""type"":""MultiPoint"",""coordinates"":[]}"
194_0,0.399837,"{""type"":""MultiPoint"",""coordinates"":[]}"
195_0,0.6290724,"{""type"":""MultiPoint"",""coordinates"":[]}"
196_0,0.44514754,"{""type"":""MultiPoint"",""coordinates"":[]}"
197_0,0.5470174,"{""type"":""MultiPoint"",""coordinates"":[]}"
198_0,0.49360713,"{""type"":""MultiPoint"",""coordinates"":[]}"
199_0,0.6166312,"{""type"":""MultiPoint"",""coordinates"":[]}"
200_0,0.7537667,"{""type"":""MultiPoint"",""coordinates"":[]}"
201_0,0.7769456,"{""type"":""MultiPoint"",""coordinates"":[]}"
202_0,0.6485864,"{""type"":""MultiPoint"",""coordinates"":[]}"
203_0,0.23668948,"{""type"":""MultiPoint"",""coordinates"":[]}"
204_0,0.46282226,"{""type"":""MultiPoint"",""coordinates"":[]}"
205_0,0.6676188,"{""type"":""MultiPoint"",""coordinates"":[]}"
206_0,0.44327167,"{""type"":""MultiPoint"",""coordinates"":[]}"
207_0,0.6658581,"{""type"":""MultiPoint"",""coordinates"":[]}"
208_0,0.58928186,"{""type"":""MultiPoint"",""coordinates"":[]}"
209_0,0.74990356,"{""type"":""MultiPoint"",""coordinates"":[]}"
210_0,0.3210599,"{""type"":""MultiPoint"",""coordinates"":[]}"
211_0,0.27933043,"{""type"":""MultiPoint"",""coordinates"":[]}"
212_0,0.35570344,"{""type"":""MultiPoint"",""coordinates"":[]}"
213_0,0.4628286,"{""type"":""MultiPoint"",""coordinates"":[]}"
214_0,0.46970463,"{""type"":""MultiPoint"",""coordinates"":[]}"
215_0,0.44359177,"{""type"":""MultiPoint"",""coordinates"":[]}"
216_0,0.5369074,"{""type"":""MultiPoint"",""coordinates"":[]}"
217_0,0.7081041,"{""type"":""MultiPoint"",""coordinates"":[]}"
218_0,0.41299415,"{""type"":""MultiPoint"",""coordinates"":[]}"
219_0,0.2757279,"{""type"":""MultiPoint"",""coordinates"":[]}"
220_0,0.40656233,"{""type"":""MultiPoint"",""coordinates"":[]}"
221_0,0.46508974,"{""type"":""MultiPoint"",""coordinates"":[]}"
222_0,0.58205396,"{""type"":""MultiPoint"",""coordinates"":[]}"
223_0,0.75859433,"{""type"":""MultiPoint"",""coordinates"":[]}"
224_0,0.61738396,"{""type"":""MultiPoint"",""coordinates"":[]}"
225_0,0.29403254,"{""type"":""MultiPoint"",""coordinates"":[]}"
226_0,0.53378063,"{""type"":""MultiPoint"",""coordinates"":[]}"
227_0,0.19265176,"{""type"":""MultiPoint"",""coordinates"":[]}"
228_0,0.7549335,"{""type"":""MultiPoint"",""coordinates"":[]}"
229_0,0.47846243,"{""type"":""MultiPoint"",""coordinates"":[]}"
230_0,0.39516452,"{""type"":""MultiPoint"",""coordinates"":[]}"
231_0,0.6810369,"{""type"":""MultiPoint"",""coordinates"":[]}"
232_0,0.53264004,"{""type"":""MultiPoint"",""coordinates"":[]}"
233_0,0.7661872,"{""type"":""MultiPoint"",""coordinates"":[]}"
234_0,0.720218,"{""type"":""MultiPoint"",""coordinates"":[]}"
235_0,0.48304018,"{""type"":""MultiPoint"",""coordinates"":[]}"
236_0,0.55163455,"{""type"":""MultiPoint"",""coordinates"":[]}"
237_0,0.28716218,"{""type"":""MultiPoint"",""coordinates"":[]}"
238_0,0.7354028,"{""type"":""MultiPoint"",""coordinates"":[]}"
239_0,0.49292782,"{""type"":""MultiPoint"",""coordinates"":[]}"
240_0,0.7230949,"{""type"":""MultiPoint"",""coordinates"":[]}"
241_0,0.55376387,"{""type"":""MultiPoint"",""coordinates"":[]}"
242_0,0.34766552,"{""type"":""MultiPoint"",""coordinates"":[]}"
243_0,0.43158668,"{""type"":""MultiPoint"",""coordinates"":[]}"
244_0,0.42443022,"{""type"":""MultiPoint"",""coordinates"":[]}"
245_0,0.30674258,"{""type"":""MultiPoint"",""coordinates"":[]}"
246_0,0.17100541,"{""type"":""MultiPoint"",""coordinates"":[]}"
247_0,0.5511932,"{""type"":""MultiPoint"",""coordinates"":[]}"
248_0,0.45512715,"{""type"":""MultiPoint"",""coordinates"":[]}"
249_0,0.65348226,"{""type"":""MultiPoint"",""coordinates"":[]}"
250_0,0.7355042,"{""type"":""MultiPoint"",""coordinates"":[]}"
251_0,0.41550505,"{""type"":""MultiPoint"",""coordinates"":[]}"
252_0,0.66939014,"{""type"":""MultiPoint"",""coordinates"":[]}"
253_0,0.57353544,"{""type"":""MultiPoint"",""coordinates"":[]}"
254_0,0.3084775,"{""type"":""MultiPoint"",""coordinates"":[]}"
255_0,0.6575942,"{""type"":""MultiPoint"",""coordinates"":[]}"
256_0,0.49240056,"{""type"":""MultiPoint"",""coordinates"":[]}"
257_0,0.589128,"{""type"":""MultiPoint"",""coordinates"":[]}"
258_0,0.59367776,"{""type"":""MultiPoint"",""coordinates"":[]}"
259_0,0.48251298,"{""type"":""MultiPoint"",""coordinates"":[]}"
260_0,0.57607365,"{""type"":""MultiPoint"",""coordinates"":[]}"
261_0,0.3844885,"{""type"":""MultiPoint"",""coordinates"":[]}"
262_0,0.6014886,"{""type"":""MultiPoint"",""coordinates"":[]}"
263_0,0.7826886,"{""type"":""MultiPoint"",""coordinates"":[]}"
264_0,0.8041804,"{""type"":""MultiPoint"",""coordinates"":[]}"
265_0,0.4057181,"{""type"":""MultiPoint"",""coordinates"":[]}"
266_0,0.695869,"{""type"":""MultiPoint"",""coordinates"":[]}"
267_0,0.41031054,"{""type"":""MultiPoint"",""coordinates"":[]}"
268_0,0.78977317,"{""type"":""MultiPoint"",""coordinates"":[]}"
269_0,0.49983045,"{""type"":""MultiPoint"",""coordinates"":[]}"
270_0,0.34266716,"{""type"":""MultiPoint"",""coordinates"":[]}"
