system:index,elevation,.geo
283_0,126,"{""type"":""MultiPoint"",""coordinates"":[]}"
284_0,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
285_0,115,"{""type"":""MultiPoint"",""coordinates"":[]}"
286_0,185,"{""type"":""MultiPoint"",""coordinates"":[]}"
287_0,343,"{""type"":""MultiPoint"",""coordinates"":[]}"
288_0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
289_0,139,"{""type"":""MultiPoint"",""coordinates"":[]}"
290_0,595,"{""type"":""MultiPoint"",""coordinates"":[]}"
291_0,367,"{""type"":""MultiPoint"",""coordinates"":[]}"
292_0,1095,"{""type"":""MultiPoint"",""coordinates"":[]}"
293_0,224,"{""type"":""MultiPoint"",""coordinates"":[]}"
294_0,95,"{""type"":""MultiPoint"",""coordinates"":[]}"
295_0,149,"{""type"":""MultiPoint"",""coordinates"":[]}"
296_0,292,"{""type"":""MultiPoint"",""coordinates"":[]}"
297_0,366,"{""type"":""MultiPoint"",""coordinates"":[]}"
298_0,926,"{""type"":""MultiPoint"",""coordinates"":[]}"
299_0,497,"{""type"":""MultiPoint"",""coordinates"":[]}"
300_0,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
301_0,402,"{""type"":""MultiPoint"",""coordinates"":[]}"
302_0,317,"{""type"":""MultiPoint"",""coordinates"":[]}"
303_0,113,"{""type"":""MultiPoint"",""coordinates"":[]}"
304_0,166,"{""type"":""MultiPoint"",""coordinates"":[]}"
305_0,165,"{""type"":""MultiPoint"",""coordinates"":[]}"
306_0,216,"{""type"":""MultiPoint"",""coordinates"":[]}"
307_0,169,"{""type"":""MultiPoint"",""coordinates"":[]}"
308_0,587,"{""type"":""MultiPoint"",""coordinates"":[]}"
309_0,593,"{""type"":""MultiPoint"",""coordinates"":[]}"
310_0,242,"{""type"":""MultiPoint"",""coordinates"":[]}"
311_0,185,"{""type"":""MultiPoint"",""coordinates"":[]}"
312_0,222,"{""type"":""MultiPoint"",""coordinates"":[]}"
313_0,128,"{""type"":""MultiPoint"",""coordinates"":[]}"
314_0,328,"{""type"":""MultiPoint"",""coordinates"":[]}"
315_0,239,"{""type"":""MultiPoint"",""coordinates"":[]}"
316_0,153,"{""type"":""MultiPoint"",""coordinates"":[]}"
317_0,534,"{""type"":""MultiPoint"",""coordinates"":[]}"
318_0,427,"{""type"":""MultiPoint"",""coordinates"":[]}"
319_0,372,"{""type"":""MultiPoint"",""coordinates"":[]}"
320_0,142,"{""type"":""MultiPoint"",""coordinates"":[]}"
321_0,144,"{""type"":""MultiPoint"",""coordinates"":[]}"
322_0,416,"{""type"":""MultiPoint"",""coordinates"":[]}"
323_0,303,"{""type"":""MultiPoint"",""coordinates"":[]}"
324_0,236,"{""type"":""MultiPoint"",""coordinates"":[]}"
325_0,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
326_0,141,"{""type"":""MultiPoint"",""coordinates"":[]}"
327_0,798,"{""type"":""MultiPoint"",""coordinates"":[]}"
328_0,291,"{""type"":""MultiPoint"",""coordinates"":[]}"
329_0,153,"{""type"":""MultiPoint"",""coordinates"":[]}"
330_0,242,"{""type"":""MultiPoint"",""coordinates"":[]}"
331_0,135,"{""type"":""MultiPoint"",""coordinates"":[]}"
332_0,292,"{""type"":""MultiPoint"",""coordinates"":[]}"
333_0,136,"{""type"":""MultiPoint"",""coordinates"":[]}"
334_0,1096,"{""type"":""MultiPoint"",""coordinates"":[]}"
335_0,207,"{""type"":""MultiPoint"",""coordinates"":[]}"
336_0,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
337_0,211,"{""type"":""MultiPoint"",""coordinates"":[]}"
338_0,201,"{""type"":""MultiPoint"",""coordinates"":[]}"
339_0,186,"{""type"":""MultiPoint"",""coordinates"":[]}"
340_0,483,"{""type"":""MultiPoint"",""coordinates"":[]}"
341_0,295,"{""type"":""MultiPoint"",""coordinates"":[]}"
342_0,445,"{""type"":""MultiPoint"",""coordinates"":[]}"
343_0,247,"{""type"":""MultiPoint"",""coordinates"":[]}"
344_0,145,"{""type"":""MultiPoint"",""coordinates"":[]}"
345_0,440,"{""type"":""MultiPoint"",""coordinates"":[]}"
346_0,228,"{""type"":""MultiPoint"",""coordinates"":[]}"
347_0,371,"{""type"":""MultiPoint"",""coordinates"":[]}"
348_0,529,"{""type"":""MultiPoint"",""coordinates"":[]}"
349_0,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
350_0,205,"{""type"":""MultiPoint"",""coordinates"":[]}"
351_0,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
352_0,101,"{""type"":""MultiPoint"",""coordinates"":[]}"
353_0,415,"{""type"":""MultiPoint"",""coordinates"":[]}"
354_0,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
355_0,283,"{""type"":""MultiPoint"",""coordinates"":[]}"
356_0,851,"{""type"":""MultiPoint"",""coordinates"":[]}"
357_0,313,"{""type"":""MultiPoint"",""coordinates"":[]}"
358_0,247,"{""type"":""MultiPoint"",""coordinates"":[]}"
359_0,163,"{""type"":""MultiPoint"",""coordinates"":[]}"
360_0,764,"{""type"":""MultiPoint"",""coordinates"":[]}"
361_0,233,"{""type"":""MultiPoint"",""coordinates"":[]}"
362_0,170,"{""type"":""MultiPoint"",""coordinates"":[]}"
363_0,225,"{""type"":""MultiPoint"",""coordinates"":[]}"
364_0,382,"{""type"":""MultiPoint"",""coordinates"":[]}"
365_0,343,"{""type"":""MultiPoint"",""coordinates"":[]}"
366_0,133,"{""type"":""MultiPoint"",""coordinates"":[]}"
367_0,450,"{""type"":""MultiPoint"",""coordinates"":[]}"
368_0,360,"{""type"":""MultiPoint"",""coordinates"":[]}"
369_0,157,"{""type"":""MultiPoint"",""coordinates"":[]}"
370_0,210,"{""type"":""MultiPoint"",""coordinates"":[]}"
371_0,363,"{""type"":""MultiPoint"",""coordinates"":[]}"
372_0,261,"{""type"":""MultiPoint"",""coordinates"":[]}"
373_0,152,"{""type"":""MultiPoint"",""coordinates"":[]}"
374_0,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
375_0,129,"{""type"":""MultiPoint"",""coordinates"":[]}"
376_0,371,"{""type"":""MultiPoint"",""coordinates"":[]}"
377_0,410,"{""type"":""MultiPoint"",""coordinates"":[]}"
378_0,207,"{""type"":""MultiPoint"",""coordinates"":[]}"
379_0,226,"{""type"":""MultiPoint"",""coordinates"":[]}"
380_0,344,"{""type"":""MultiPoint"",""coordinates"":[]}"
381_0,329,"{""type"":""MultiPoint"",""coordinates"":[]}"
382_0,748,"{""type"":""MultiPoint"",""coordinates"":[]}"
383_0,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
384_0,203,"{""type"":""MultiPoint"",""coordinates"":[]}"
385_0,326,"{""type"":""MultiPoint"",""coordinates"":[]}"
386_0,411,"{""type"":""MultiPoint"",""coordinates"":[]}"
387_0,312,"{""type"":""MultiPoint"",""coordinates"":[]}"
388_0,144,"{""type"":""MultiPoint"",""coordinates"":[]}"
389_0,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
390_0,200,"{""type"":""MultiPoint"",""coordinates"":[]}"
391_0,123,"{""type"":""MultiPoint"",""coordinates"":[]}"
392_0,650,"{""type"":""MultiPoint"",""coordinates"":[]}"
393_0,678,"{""type"":""MultiPoint"",""coordinates"":[]}"
394_0,36,"{""type"":""MultiPoint"",""coordinates"":[]}"
395_0,160,"{""type"":""MultiPoint"",""coordinates"":[]}"
396_0,227,"{""type"":""MultiPoint"",""coordinates"":[]}"
397_0,189,"{""type"":""MultiPoint"",""coordinates"":[]}"
398_0,661,"{""type"":""MultiPoint"",""coordinates"":[]}"
399_0,497,"{""type"":""MultiPoint"",""coordinates"":[]}"
400_0,160,"{""type"":""MultiPoint"",""coordinates"":[]}"
401_0,137,"{""type"":""MultiPoint"",""coordinates"":[]}"
402_0,38,"{""type"":""MultiPoint"",""coordinates"":[]}"
403_0,136,"{""type"":""MultiPoint"",""coordinates"":[]}"
404_0,309,"{""type"":""MultiPoint"",""coordinates"":[]}"
405_0,132,"{""type"":""MultiPoint"",""coordinates"":[]}"
406_0,158,"{""type"":""MultiPoint"",""coordinates"":[]}"
407_0,280,"{""type"":""MultiPoint"",""coordinates"":[]}"
408_0,933,"{""type"":""MultiPoint"",""coordinates"":[]}"
409_0,305,"{""type"":""MultiPoint"",""coordinates"":[]}"
410_0,659,"{""type"":""MultiPoint"",""coordinates"":[]}"
411_0,158,"{""type"":""MultiPoint"",""coordinates"":[]}"
412_0,358,"{""type"":""MultiPoint"",""coordinates"":[]}"
413_0,366,"{""type"":""MultiPoint"",""coordinates"":[]}"
414_0,1236,"{""type"":""MultiPoint"",""coordinates"":[]}"
415_0,149,"{""type"":""MultiPoint"",""coordinates"":[]}"
416_0,374,"{""type"":""MultiPoint"",""coordinates"":[]}"
417_0,466,"{""type"":""MultiPoint"",""coordinates"":[]}"
418_0,569,"{""type"":""MultiPoint"",""coordinates"":[]}"
419_0,250,"{""type"":""MultiPoint"",""coordinates"":[]}"
420_0,89,"{""type"":""MultiPoint"",""coordinates"":[]}"
421_0,250,"{""type"":""MultiPoint"",""coordinates"":[]}"
